Rank,Country,Elections,Seats*,Women,%W,Elections.1,Seats*.1,Women.1,%W.1,iso3,%W_str
156,Hungary,4.2018,199,24,12.1,-,-,-,-,HUN,12.1%
157,Jordan,11.202,130,15,11.5,9.202,65,8,12.3,JOR,11.5%
158,Congo,7.2017,151,17,11.3,8.2017,69,13,18.8,COG,11.3%
159,Syrian Arab Republic,7.202,250,28,11.2,-,-,-,-,SYR,11.2%
160,Antigua and Barbuda,3.2018,18,2,11.1,3.2018,17,9,52.9,ATG,11.1%
“,Saint Lucia,7.2021,18,2,11.1,8.2021,11,5,45.5,LCA,11.1%
162,Liberia,10.2017,73,8,11.0,12.202,30,2,6.7,LBR,11.0%
163,Botswana,10.2019,65,7,10.8,-,-,-,-,BWA,10.8%
164,Nauru,8.2019,19,2,10.5,-,-,-,-,NRU,10.5%
165,Japan,10.2017,464,46,9.9,7.2019,244,56,23,JPN,9.9%
166,Qatar,6.2016,41,4,9.8,-,-,-,-,QAT,9.8%
167,Eswatini,9.2018,73,7,9.6,10.2018,30,12,40,SWZ,9.6%
168,Brunei Darussalam,1.2017,33,3,9.1,-,-,-,-,BRN,9.1%
“,Samoa,4.2021,44,4,9.1,-,-,-,-,WSM,9.1%
170,Gambia (The),4.2017,58,5,8.6,-,-,-,-,GBM,8.6%
171,Benin,4.2019,83,7,8.4,-,-,-,-,BEN,8.4%
172,Algeria,6.2021,407,33,8.1,12.2018,141,8,5.7,DZA,8.1%
173,Solomon Islands,4.2019,50,4,8.0,-,-,-,-,SLB,8.0%
174,Tonga,11.2017,27,2,7.4,-,-,-,-,TON,7.4%
175,Kiribati,4.202,45,3,6.7,-,-,-,-,KIR,6.7%
176,Burkina Faso,11.202,127,8,6.3,-,-,-,-,BFA,6.3%
“,Palau,11.202,16,1,6.3,11.202,13,1,7.7,PLW,6.3%
“,Tuvalu,9.2019,16,1,6.3,-,-,-,-,TUV,6.3%
179,Marshall Islands,11.2019,33,2,6.1,-,-,-,-,MHL,6.1%
180,Iran (Islamic Republic of),2.202,286,16,5.6,-,-,-,-,IRN,5.6%
181,Sri Lanka,8.202,223,12,5.4,-,-,-,-,LKA,5.4%
182,Lebanon,5.2018,128,6,4.7,-,-,-,-,LBN,4.7%
183,Maldives,4.2019,87,4,4.6,-,-,-,-,MDV,4.6%
184,Nigeria,2.2019,360,13,3.6,2.2019,109,8,7.3,NGA,3.6%
185,Oman,10.2019,86,2,2.3,11.2019,86,15,17.4,OMN,2.3%
186,Kuwait,12.202,65,1,1.5,-,-,-,-,KWT,1.5%
187,Micronesia (Federated States of),3.2021,14,0,,-,-,-,-,FSM,nan%
